kode_plat;provinsi;kode_akhir_awal;wilayah
Z;Priangan Timur (Jawa Barat);W*;Kabupaten Pangandaran
Z;Priangan Timur (Jawa Barat);X*/Y*/Z*;Kota Banjar
;;;
G;Karesidenan Pekalongan (Jawa Tengah);*A/*H/*S;Kota Pekalongan
G;Karesidenan Pekalongan (Jawa Tengah);*B/*K/*O/*T;Kabupaten Pekalongan
G;Karesidenan Pekalongan (Jawa Tengah);*C/*L/*V/*X;Kabupaten Batang
G;Karesidenan Pekalongan (Jawa Tengah);*D/*I/*M/*W;Kabupaten Pemalang
G;Karesidenan Pekalongan (Jawa Tengah);*E/*N/*Y;Kota Tegal
G;Karesidenan Pekalongan (Jawa Tengah);*F/*P/*Q/*Z;Kabupaten Tegal
G;Karesidenan Pekalongan (Jawa Tengah);**G/*J/*R/*U;Kabupaten Brebes
;;;
H;Karesidenan Semarang (Jawa Tengah);*A/*F/**G/*H/*P/*Q;Kota Semarang
H;Karesidenan Semarang (Jawa Tengah);*R/*S/**W/*X/*Y/*Z;Kota Semarang
H;Karesidenan Semarang (Jawa Tengah);*B/*K/*O/*T;Kota Salatiga
H;Karesidenan Semarang (Jawa Tengah);**C/*I/*L/*V;Kabupaten Semarang
H;Karesidenan Semarang (Jawa Tengah);**D/*M/*U;Kabupaten Kendal
H;Karesidenan Semarang (Jawa Tengah);**E/*J/*N;Kabupaten Demak
;;;
K;Karesidenan Pati (Jawa Tengah);*A/*G/*H/*S/*U;Kabupaten Pati
K;Karesidenan Pati (Jawa Tengah);*B/*K/*O/*R/*T;Kabupaten Kudus
K;Karesidenan Pati (Jawa Tengah);**C/*L/*Q/*V;Kabupaten Jepara
K;Karesidenan Pati (Jawa Tengah);*D/*I/*M/*W;Kabupaten Rembang
K;Karesidenan Pati (Jawa Tengah);*E/*N/*X/*Y;Kabupaten Blora
K;Karesidenan Pati (Jawa Tengah);**F/*J/*P/*Z;Kabupaten Grobogan
;;;
R;Karesidenan Banyumas (Jawa Tengah);*A/*E/*G/*H/*J/*S/*X;Kabupaten Banyumas
R;Karesidenan Banyumas (Jawa Tengah);*B/*F/*K/*N/*P/*R/*T;Kabupaten Cilacap
R;Karesidenan Banyumas (Jawa Tengah);*C/*L/*Q/*U/*V/*Z;Kabupaten Purbalingga
